('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         893987 function calls (872670 primitive calls) in 3.655 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6240    0.001    0.000    0.005    0.000 {built-in method builtins.next}
       19    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     4089    0.001    0.000    0.002    0.000 element.py:1371(is_empty_element)
     8268    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      311    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
    260/4    0.001    0.000    0.215    0.054 <frozen importlib._bootstrap>:1349(_find_and_load)
     3964    0.001    0.000    0.002    0.000 __init__.py:773(handle_data)
      279    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
      410    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
    10028    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        2    0.001    0.000    0.007    0.004 request.py:1(<module>)
       43    0.001    0.000    0.008    0.000 response.py:119(decompress)
      926    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     6093    0.001    0.000    0.001    0.000 element.py:2062(descendants)
    260/4    0.001    0.000    0.215    0.054 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     4090    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
    10894    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
      325    0.001    0.000    0.003    0.000 css_parser.py:1085(selector_iter)
     1077    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      134    0.001    0.000    0.001    0.000 _compiler.py:467(_get_charset_prefix)
     3785    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      203    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
     4347    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      311    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       25    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     1385    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     4634    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2874    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      239    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      406    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      339    0.001    0.000    1.556    0.005 ssl.py:1237(recv_into)
      234    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     4723    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      203    0.001    0.000    0.088    0.000 _compiler.py:740(compile)
      205    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     3953    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
    234/4    0.001    0.000    0.214    0.054 <frozen importlib._bootstrap>:911(_load_unlocked)
      311    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     3871    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        1    0.001    0.001    0.001    0.001 connection.py:270(close)
        1    0.001    0.001    3.440    3.440 financial.py:8(finances)
    52/14    0.001    0.000    0.011    0.001 css_parser.py:905(parse_selectors)
      907    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
     4089    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
       27    0.001    0.000    0.555    0.021 __init__.py:1(<module>)
      832    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
     1509    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
       10    0.001    0.000    0.003    0.000 enum.py:919(_convert_)
      311    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     4090    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2476    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       50    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     2712    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      339    0.000    0.000    1.556    0.005 socket.py:693(readinto)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     3868    0.000    0.000    0.000    0.000 parser.py:128(clear_cdata_mode)
     2794    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      311    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
    18/17    0.000    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      410    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2251    0.000    0.000    0.001    0.000 css_parser.py:305(match)
      205    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     2712    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      203    0.000    0.000    0.054    0.000 _parser.py:969(parse)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
     1814    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
2287/2285    0.000    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
    534/8    0.000    0.000    0.213    0.027 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       77    0.000    0.000    0.003    0.000 css_parser.py:459(parse_attribute_selector)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      925    0.000    0.000    0.000    0.000 {built-in method fromkeys}
    205/4    0.000    0.000    0.214    0.053 <frozen importlib._bootstrap_external>:989(exec_module)
     1009    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
     1032    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      159    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
      234    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
      397    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
        1    0.000    0.000    0.000    0.000 langbulgarianmodel.py:1(<module>)
     3164    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      615    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1045    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
        1    0.000    0.000    0.000    0.000 langgreekmodel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 langhebrewmodel.py:1(<module>)
      520    0.000    0.000    0.001    0.000 enum.py:726(__call__)
     2232    0.000    0.000    0.000    0.000 py.py:11(<genexpr>)
      339    0.000    0.000    1.555    0.005 ssl.py:1095(read)
        1    0.000    0.000    0.000    0.000 johabfreq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      203    0.000    0.000    0.033    0.000 _compiler.py:573(_code)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       36    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.000    0.000 langrussianmodel.py:1(<module>)
      415    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
      258    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
