('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         859329 function calls (839029 primitive calls) in 2.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     3964    0.001    0.000    0.002    0.000 __init__.py:773(handle_data)
     7042    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      267    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     9673    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      172    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
    217/4    0.001    0.000    0.188    0.047 <frozen importlib._bootstrap>:1349(_find_and_load)
      258    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      344    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      322    0.001    0.000    1.889    0.006 ssl.py:1237(recv_into)
    10894    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
     4090    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
      325    0.001    0.000    0.003    0.000 css_parser.py:1085(selector_iter)
      809    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      118    0.001    0.000    0.001    0.000 _compiler.py:467(_get_charset_prefix)
     6093    0.001    0.000    0.001    0.000 element.py:2062(descendants)
     1008    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
     3528    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        2    0.001    0.000    0.007    0.003 request.py:1(<module>)
     4224    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      177    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
     4545    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     4526    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      322    0.001    0.000    1.890    0.006 socket.py:693(readinto)
     3871    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
    217/4    0.001    0.000    0.187    0.047 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     2774    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     3952    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 connection.py:270(close)
     1297    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      354    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
        1    0.001    0.001    2.279    2.279 financial_enhanced.py:8(finances)
    52/14    0.001    0.000    0.011    0.001 css_parser.py:905(parse_selectors)
      177    0.001    0.000    0.083    0.000 _compiler.py:740(compile)
     4089    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      865    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      200    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      742    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      172    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      197    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     4090    0.000    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2689    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
    200/4    0.000    0.000    0.187    0.047 <frozen importlib._bootstrap>:911(_load_unlocked)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     1341    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
     3868    0.000    0.000    0.000    0.000 parser.py:128(clear_cdata_mode)
